Iteration	Cost
1092	9.87677528399
1093	9.87597879522
1094	9.87518268565
1095	9.87438713736
1096	9.87359202526
1097	9.87279738124
1098	9.87200322153
1099	9.87120954392
1100	9.87041633556
1101	9.86962355891
1102	9.86883128522
1103	9.86803940668
1104	9.86724808338
1105	9.86645708185
1106	9.86566663945
1107	9.86487664797
1108	9.86408708646
1109	9.86329803196
1110	9.86250947313
1111	9.86172142142
1112	9.86093379956
1113	9.86014661237
1114	9.85935998935
1115	9.85857374667
1116	9.85778797346
1117	9.85700260879
1118	9.85621776587
1119	9.85543339453
1120	9.85464946155
1121	9.85386593837
1122	9.85308300562
1123	9.85230053376
1124	9.85151840247
1125	9.85073680802
1126	9.84995556821
1127	9.84917484085
1128	9.84839462241
1129	9.8476148029
1130	9.84683542208
1131	9.84605649507
1132	9.84527815137
1133	9.84450018679
1134	9.84372273341
1135	9.84294561404
1136	9.84216900144
1137	9.8413928795
1138	9.84061708281
1139	9.83984187694
1140	9.8390670801
1141	9.83829277573
1142	9.83751892872
1143	9.83674546808
1144	9.83597246012
1145	9.83519992065
1146	9.83442787785
1147	9.83365625836
1148	9.83288505803
1149	9.83211430132
1150	9.83134408456
1151	9.83057422881
1152	9.82980484148
1153	9.82903588377
1154	9.82826735732
1155	9.82749926655
1156	9.82673166931
1157	9.82596450293
1158	9.82519774348
1159	9.82443149011
1160	9.82366561774
1161	9.8229002776
1162	9.82213533104
1163	9.82137083851
1164	9.82060678816
1165	9.81984325601
1166	9.81908006434
1167	9.81831735564
1168	9.81755510345
1169	9.81679327839
1170	9.816031928
1171	9.81527099437
1172	9.81451050032
1173	9.81375042157
1174	9.81299085801
1175	9.81223167372
1176	9.8114729322
1177	9.81071458845
1178	9.8099567191
1179	9.8091993401
1180	9.80844235474
1181	9.80768574748
1182	9.80692964284
1183	9.80617398881
1184	9.80541876685
1185	9.80466395996
1186	9.80390957539
1187	9.803155613
1188	9.80240209818
1189	9.8016490788
1190	9.80089649445
1191	9.80014429133
1192	9.79939250283
1193	9.79864116445
1194	9.79789025673
1195	9.79713973719
1196	9.79638968565
1197	9.79564004558
1198	9.79489085099
1199	9.7941420886
1200	9.79339376511
1201	9.79264579035
1202	9.79189833045
1203	9.79115127481
1204	9.79040465429
1205	9.789658472
1206	9.78891267665
1207	9.78816731587
1208	9.78742237247
1209	9.78667783858
1210	9.78593376129
1211	9.78519017349
1212	9.78444690647
1213	9.78370407811
1214	9.78296176021
1215	9.78221976939
1216	9.78147821138
1217	9.78073706991
1218	9.77999634016
1219	9.77925598813
1220	9.77851609793
1221	9.77777665108
1222	9.77703768247
1223	9.77629914132
1224	9.77556097927
1225	9.77482322424
1226	9.77408590382
1227	9.77334900078
1228	9.7726125338
1229	9.77187644287
1230	9.77114077117
1231	9.77040548784
1232	9.76967073764
1233	9.76893638918
1234	9.76820235181
1235	9.76746888952
1236	9.76673567544
1237	9.76600299737
1238	9.76527072463
1239	9.76453884026
1240	9.76380733469
1241	9.76307625812
1242	9.76234556352
1243	9.76161533597
1244	9.76088554355
1245	9.76015608009
1246	9.75942708741
1247	9.7586984419
1248	9.75797028317
1249	9.757242445
1250	9.75651503825
1251	9.75578806448
1252	9.75506155393
1253	9.75433538396
1254	9.7536096512
1255	9.7528843323
1256	9.75215942406
1257	9.75143493705
1258	9.75071083625
1259	9.74998717126
1260	9.7492639122
1261	9.74854101181
1262	9.7478185863
1263	9.74709654568
1264	9.74637489853
1265	9.74565368338
1266	9.74493283661
1267	9.7442124275
1268	9.74349238764
1269	9.74277276502
1270	9.7420535651
1271	9.7413347734
1272	9.74061634388
1273	9.73989828307
1274	9.73918064477
1275	9.73846339321
1276	9.73774661177
1277	9.7370301816
1278	9.73631418751
1279	9.73559858979
1280	9.734883376
1281	9.73416857566
1282	9.73345418334
1283	9.73274016287
1284	9.73202654237
1285	9.7313132451
1286	9.730600502
1287	9.72988805508
1288	9.72917601157
1289	9.72846440386
1290	9.72775317242
1291	9.72704231652
1292	9.72633187048
1293	9.72562186472
1294	9.72491217069
1295	9.72420296017
1296	9.7234941713
1297	9.72278568434
1298	9.72207757472
1299	9.72136996033
1300	9.72066274687
1301	9.71995582846
1302	9.71924932988
1303	9.71854325563
1304	9.71783757308
1305	9.71713224317
1306	9.71642735583
1307	9.7157228506
1308	9.71501874678
1309	9.71431500157
1310	9.71361164256
1311	9.7129086675
1312	9.71220610945
1313	9.71150393307
1314	9.7108021367
1315	9.71010070993
1316	9.70939966982
1317	9.70869906368
1318	9.70799880294
1319	9.70729890768
1320	9.70659943401
1321	9.70590033487
1322	9.70520154947
1323	9.70450322772
1324	9.70380525409
1325	9.70310772678
1326	9.70241052798
1327	9.70171375127
1328	9.70101736793
1329	9.70032133687
1330	9.69962569535
1331	9.69893040241
1332	9.69823554189
1333	9.69754106041
1334	9.69684697162
1335	9.69615324195
1336	9.69545986868
1337	9.69476689934
1338	9.69407435179
1339	9.69338211919
1340	9.69269020347
1341	9.69199869618
1342	9.69130766582
1343	9.69061696052
1344	9.68992666238
1345	9.68923671529
1346	9.68854724775
1347	9.6878580743
1348	9.68716928335
1349	9.6864809075
1350	9.68579288331
1351	9.68510520999
1352	9.68441792736
1353	9.68373105028
1354	9.68304446313
1355	9.68235835831
1356	9.68167257359
1357	9.6809872242
1358	9.6803021474
1359	9.67961742878
1360	9.6789331529
1361	9.67824917166
1362	9.67756560557
1363	9.67688239511
1364	9.67619958475
1365	9.6755171591
1366	9.67483510956
1367	9.67415345987
1368	9.67347216864
1369	9.67279122564
1370	9.6721106266
1371	9.67143040479
1372	9.67075058885
1373	9.67007116839
1374	9.66939209473
1375	9.66871338579
1376	9.66803503755
1377	9.66735704842
1378	9.66667943585
1379	9.66600215847
